supplier_id,supplier_region,supplier_tier,operational_maturity,inventory_days,climate_stress_index,disruption_risk_percent
SUP-0416,NAM,Tier 2,66.2,105.0,3.64,0.0
SUP-0417,EMEA,Tier 3,21.0,65.3,0.07,0.0
SUP-0418,EMEA,Tier 2,25.4,26.4,5.59,9.88
SUP-0419,LATAM,Tier 1,61.0,19.1,4.19,0.66
SUP-0420,LATAM,Tier 3,74.6,19.5,1.87,0.0
SUP-0421,APAC,Tier 3,59.4,63.5,5.12,18.03
SUP-0422,EMEA,Tier 2,33.2,22.9,3.78,2.45
SUP-0423,LATAM,Tier 2,39.6,6.5,0.0,0.0
SUP-0424,EMEA,Tier 3,63.5,34.5,1.66,0.0
SUP-0425,LATAM,Tier 2,61.3,11.6,3.99,2.15
SUP-0426,NAM,Tier 3,34.9,77.3,4.07,5.3
SUP-0427,APAC,Tier 2,39.7,5.0,6.86,18.14
SUP-0428,EMEA,Tier 3,20.0,12.9,2.44,12.38
SUP-0429,NAM,Tier 2,63.7,51.4,2.8,0.0
SUP-0430,APAC,Tier 3,46.3,29.7,3.88,13.6
SUP-0431,APAC,Tier 3,36.5,5.9,6.8,26.33
SUP-0432,APAC,Tier 3,39.2,19.4,6.0,15.18
SUP-0433,LATAM,Tier 3,47.4,28.9,4.36,21.61
SUP-0434,LATAM,Tier 3,55.0,11.4,5.84,17.67
SUP-0435,APAC,Tier 2,63.1,81.8,6.38,14.63
SUP-0436,EMEA,Tier 3,44.9,14.6,5.14,14.58
SUP-0437,EMEA,Tier 2,47.0,5.5,0.76,0.0
SUP-0438,EMEA,Tier 3,52.5,6.1,3.9,14.66
SUP-0439,LATAM,Tier 1,70.6,37.2,0.69,0.0
SUP-0440,NAM,Tier 3,37.8,11.9,2.27,4.55
SUP-0441,EMEA,Tier 2,67.1,24.6,6.22,4.52
SUP-0442,LATAM,Tier 1,64.5,20.9,5.29,0.0
SUP-0443,APAC,Tier 3,28.5,13.1,4.24,27.72
SUP-0444,NAM,Tier 3,37.0,28.1,0.59,0.0
SUP-0445,APAC,Tier 3,42.6,25.5,7.73,42.87
SUP-0446,NAM,Tier 2,48.8,11.5,4.52,2.51
SUP-0447,LATAM,Tier 1,45.0,19.6,4.54,0.0
SUP-0448,EMEA,Tier 3,20.0,15.1,1.94,1.46
SUP-0449,APAC,Tier 2,45.1,11.8,5.91,17.41
SUP-0450,EMEA,Tier 1,61.8,23.3,3.26,0.0
SUP-0451,APAC,Tier 1,88.7,72.1,7.12,0.0
SUP-0452,EMEA,Tier 3,28.2,23.2,1.96,1.47
SUP-0453,APAC,Tier 3,49.2,27.8,5.04,17.16
SUP-0454,APAC,Tier 2,63.6,15.2,5.38,6.74
SUP-0455,EMEA,Tier 3,51.3,7.1,3.75,4.26
SUP-0456,NAM,Tier 3,43.0,11.0,5.65,25.4
SUP-0457,NAM,Tier 3,37.6,24.0,1.42,1.04
SUP-0458,EMEA,Tier 1,74.4,31.8,3.33,0.0
SUP-0459,NAM,Tier 1,56.9,17.3,5.36,6.68
SUP-0460,EMEA,Tier 1,77.5,59.0,4.74,0.0
SUP-0461,EMEA,Tier 3,48.1,31.8,2.27,0.0
SUP-0462,APAC,Tier 3,61.1,11.3,10.0,48.96
SUP-0463,EMEA,Tier 3,41.0,17.1,1.12,0.0
SUP-0464,EMEA,Tier 2,84.9,60.1,2.27,0.0
SUP-0465,NAM,Tier 2,28.4,19.0,3.97,4.99
SUP-0466,LATAM,Tier 1,62.6,26.3,7.89,4.1
SUP-0467,NAM,Tier 1,62.6,9.1,5.58,0.67
SUP-0468,EMEA,Tier 3,40.0,12.4,2.58,3.18
SUP-0469,APAC,Tier 2,30.1,13.7,6.46,26.6
SUP-0470,APAC,Tier 3,43.1,13.8,6.16,30.58
SUP-0471,LATAM,Tier 1,70.1,15.0,5.35,13.4
SUP-0472,NAM,Tier 3,58.8,44.1,4.97,4.79
SUP-0473,EMEA,Tier 1,93.9,27.4,4.91,0.0
SUP-0474,NAM,Tier 1,84.6,19.5,5.84,0.0
SUP-0475,APAC,Tier 1,76.4,10.0,10.0,15.03
SUP-0476,NAM,Tier 1,49.3,10.0,2.87,0.0
SUP-0477,APAC,Tier 2,61.7,16.2,9.24,28.87
SUP-0478,EMEA,Tier 1,30.5,45.9,3.81,3.75
SUP-0479,NAM,Tier 3,78.3,7.5,2.21,0.0
SUP-0480,EMEA,Tier 2,67.9,9.6,3.33,0.0
SUP-0481,NAM,Tier 3,48.9,6.4,9.24,27.06
SUP-0482,EMEA,Tier 3,49.2,41.2,7.32,20.65
SUP-0483,APAC,Tier 2,60.1,36.4,2.86,0.0
SUP-0484,LATAM,Tier 3,33.0,14.8,4.87,19.65
SUP-0485,APAC,Tier 3,59.1,6.4,4.29,13.0
SUP-0486,APAC,Tier 3,20.0,10.0,6.74,31.62
SUP-0487,NAM,Tier 2,32.9,17.5,5.79,20.14
SUP-0488,EMEA,Tier 1,79.8,18.2,1.52,0.0
SUP-0489,NAM,Tier 3,67.7,22.5,5.41,11.31
SUP-0490,EMEA,Tier 2,61.1,24.4,2.08,0.0
SUP-0491,NAM,Tier 3,52.9,32.7,4.39,7.92
SUP-0492,APAC,Tier 3,47.9,25.0,7.38,31.5
SUP-0493,EMEA,Tier 2,36.7,9.5,1.62,0.0
SUP-0494,NAM,Tier 2,55.2,9.2,5.8,9.12
SUP-0495,APAC,Tier 3,37.8,26.5,4.18,20.02
SUP-0496,EMEA,Tier 2,57.6,12.8,4.91,0.0
SUP-0497,EMEA,Tier 2,45.9,23.1,5.5,1.08
SUP-0498,EMEA,Tier 3,34.5,6.9,4.96,10.81
SUP-0499,APAC,Tier 1,91.5,11.0,6.2,0.0
SUP-0500,NAM,Tier 3,55.2,48.8,3.4,3.67
SUP-0501,LATAM,Tier 3,40.6,42.3,5.94,15.33
SUP-0502,NAM,Tier 1,81.4,44.0,5.22,0.0
SUP-0503,NAM,Tier 1,62.4,13.9,4.67,3.33
SUP-0504,APAC,Tier 3,54.3,33.7,8.16,39.47
SUP-0505,EMEA,Tier 3,75.3,22.7,4.09,0.0
SUP-0506,EMEA,Tier 2,42.7,10.2,6.86,17.6
SUP-0507,LATAM,Tier 2,57.4,20.0,6.25,17.28
SUP-0508,APAC,Tier 1,99.3,27.6,4.49,0.0
SUP-0509,NAM,Tier 2,52.6,28.5,6.02,14.55
SUP-0510,APAC,Tier 1,88.5,9.0,8.87,3.74
SUP-0511,EMEA,Tier 3,72.3,8.7,6.91,16.85
SUP-0512,EMEA,Tier 3,45.7,18.4,4.92,5.23
SUP-0513,APAC,Tier 2,50.3,55.8,9.01,35.0
SUP-0514,APAC,Tier 1,68.9,6.8,4.6,2.78
SUP-0515,LATAM,Tier 3,48.9,9.7,6.26,20.72
SUP-0516,APAC,Tier 3,48.8,77.5,7.14,34.4
SUP-0517,NAM,Tier 2,53.2,6.4,3.59,0.0
SUP-0518,NAM,Tier 2,52.3,11.3,0.9,0.0
SUP-0519,EMEA,Tier 2,48.1,12.1,2.83,0.0
SUP-0520,APAC,Tier 2,48.2,9.7,5.86,14.24
SUP-0521,APAC,Tier 3,50.0,8.4,5.44,17.06
SUP-0522,APAC,Tier 3,39.6,22.4,6.1,21.15
SUP-0523,EMEA,Tier 2,55.3,18.4,3.64,0.0
SUP-0524,APAC,Tier 3,43.2,17.3,4.23,17.84
SUP-0525,EMEA,Tier 3,69.6,44.6,4.59,0.0
SUP-0526,EMEA,Tier 3,40.8,9.3,5.49,24.2
SUP-0527,APAC,Tier 2,53.9,41.4,7.4,17.31
SUP-0528,APAC,Tier 2,78.4,7.7,4.95,4.42
SUP-0529,APAC,Tier 2,36.2,25.7,6.09,11.71
SUP-0530,APAC,Tier 3,48.3,9.1,3.31,4.44
SUP-0531,NAM,Tier 3,34.3,11.7,1.79,2.58
SUP-0532,APAC,Tier 3,34.2,21.3,5.04,24.33
SUP-0533,NAM,Tier 3,52.0,10.0,4.82,8.98
SUP-0534,NAM,Tier 2,63.0,32.7,6.46,5.31
SUP-0535,APAC,Tier 1,52.2,18.3,3.63,0.0
SUP-0536,NAM,Tier 3,20.0,33.6,0.0,0.0
SUP-0537,APAC,Tier 3,26.8,159.5,4.45,25.53
SUP-0538,EMEA,Tier 1,72.1,24.1,0.0,0.0
SUP-0539,APAC,Tier 1,83.3,5.7,1.33,0.0
SUP-0540,EMEA,Tier 1,69.3,10.4,2.95,0.0
SUP-0541,APAC,Tier 1,56.6,14.6,4.6,7.2
SUP-0542,EMEA,Tier 1,59.0,27.6,5.32,0.65
SUP-0543,APAC,Tier 1,71.7,5.4,5.7,7.49
SUP-0544,EMEA,Tier 2,52.1,70.1,3.67,0.0
SUP-0545,APAC,Tier 3,47.9,27.7,7.24,28.61
SUP-0546,LATAM,Tier 3,31.7,11.6,6.91,38.38
SUP-0547,EMEA,Tier 3,60.6,12.5,2.59,0.0
SUP-0548,APAC,Tier 2,69.9,59.8,4.57,0.0
SUP-0549,LATAM,Tier 1,52.7,6.9,5.65,0.0
SUP-0550,NAM,Tier 3,46.3,10.7,0.0,0.0
SUP-0551,EMEA,Tier 3,39.4,22.2,1.9,7.7
SUP-0552,APAC,Tier 3,62.0,11.3,3.29,1.96
SUP-0553,APAC,Tier 2,47.6,40.6,6.21,12.7
SUP-0554,APAC,Tier 2,26.3,23.1,5.36,13.04
SUP-0555,NAM,Tier 2,51.4,51.5,6.53,4.74
SUP-0556,EMEA,Tier 3,49.0,26.4,6.34,14.35
SUP-0557,APAC,Tier 1,82.9,40.0,5.25,0.0
SUP-0558,APAC,Tier 2,77.7,5.7,6.7,13.77
SUP-0559,NAM,Tier 1,100.0,21.8,4.67,0.0
SUP-0560,EMEA,Tier 3,20.0,6.0,2.08,7.93
SUP-0561,APAC,Tier 2,50.5,24.0,6.47,9.14
SUP-0562,APAC,Tier 3,43.6,13.6,8.15,44.61
SUP-0563,APAC,Tier 2,47.2,6.8,2.46,0.0
SUP-0564,EMEA,Tier 2,73.0,39.7,2.87,0.0
SUP-0565,APAC,Tier 3,20.0,7.5,5.88,35.3
SUP-0566,APAC,Tier 1,32.7,8.5,4.18,8.24
SUP-0567,APAC,Tier 3,45.8,6.4,3.57,10.64
SUP-0568,EMEA,Tier 3,36.2,13.8,4.25,0.15
SUP-0569,EMEA,Tier 3,62.2,23.9,1.06,0.0
SUP-0570,NAM,Tier 2,81.0,26.5,2.29,0.0
SUP-0571,NAM,Tier 1,59.8,40.1,3.81,0.0
SUP-0572,NAM,Tier 3,22.3,19.0,4.64,19.47
SUP-0573,LATAM,Tier 3,41.2,25.2,2.46,12.4
SUP-0574,EMEA,Tier 2,44.0,31.3,7.44,12.35
SUP-0575,EMEA,Tier 2,59.1,42.2,0.0,0.0
SUP-0576,LATAM,Tier 2,54.2,19.4,7.44,22.46
SUP-0577,APAC,Tier 1,43.5,11.3,5.31,9.57
SUP-0578,EMEA,Tier 2,70.6,63.7,4.97,3.03
SUP-0579,APAC,Tier 3,37.9,5.5,8.8,50.76
SUP-0580,EMEA,Tier 1,50.6,12.3,4.94,0.0
SUP-0581,NAM,Tier 1,88.9,15.8,4.78,0.0
SUP-0582,NAM,Tier 2,70.7,8.6,7.31,6.99
SUP-0583,LATAM,Tier 3,37.4,15.9,1.18,5.08
SUP-0584,NAM,Tier 3,43.7,22.8,3.92,9.33
SUP-0585,APAC,Tier 2,53.9,29.7,6.45,14.01
SUP-0586,APAC,Tier 2,53.5,40.7,4.29,2.03
SUP-0587,NAM,Tier 3,54.8,58.3,3.78,0.0
SUP-0588,APAC,Tier 3,20.0,13.1,4.75,29.0
SUP-0589,NAM,Tier 3,20.0,37.7,2.79,10.74
SUP-0590,NAM,Tier 2,37.7,27.8,0.5,0.3
SUP-0591,NAM,Tier 3,32.1,11.0,2.0,0.0
SUP-0592,APAC,Tier 2,69.6,27.4,6.53,9.29
SUP-0593,NAM,Tier 3,62.7,13.9,1.61,0.0
SUP-0594,NAM,Tier 3,58.4,45.2,7.66,18.03
SUP-0595,EMEA,Tier 2,27.6,16.2,5.23,2.99
SUP-0596,LATAM,Tier 2,57.8,39.7,5.85,17.09
SUP-0597,NAM,Tier 3,49.4,5.8,2.1,0.0
SUP-0598,EMEA,Tier 2,68.5,12.8,4.7,3.2
SUP-0599,EMEA,Tier 3,70.3,22.1,0.49,0.0
SUP-0600,EMEA,Tier 2,39.2,24.6,5.31,4.46
SUP-0601,NAM,Tier 1,80.6,23.6,2.31,0.0
SUP-0602,APAC,Tier 3,38.7,5.3,1.45,0.31
SUP-0603,NAM,Tier 3,40.2,16.1,1.44,0.0
SUP-0604,APAC,Tier 3,47.8,21.6,7.38,28.34
SUP-0605,NAM,Tier 3,45.0,13.3,3.65,10.67
SUP-0606,NAM,Tier 3,48.4,28.9,0.28,0.0
SUP-0607,EMEA,Tier 3,47.3,63.3,2.04,0.0
SUP-0608,EMEA,Tier 3,41.4,31.1,3.89,12.37
SUP-0609,APAC,Tier 2,36.3,7.9,5.96,23.61
SUP-0610,NAM,Tier 2,68.2,7.5,5.44,0.0
SUP-0611,NAM,Tier 2,43.6,43.1,4.16,5.84
SUP-0612,APAC,Tier 1,37.7,23.7,7.25,7.37
SUP-0613,NAM,Tier 2,46.1,7.0,6.84,2.31
SUP-0614,LATAM,Tier 3,64.2,12.9,5.68,12.38
SUP-0615,EMEA,Tier 3,20.5,12.6,4.48,12.23
SUP-0616,NAM,Tier 3,61.5,33.0,6.12,11.86
SUP-0617,EMEA,Tier 3,61.3,9.1,7.97,15.48
SUP-0618,EMEA,Tier 1,69.2,22.6,1.84,0.0
SUP-0619,NAM,Tier 1,71.3,22.6,0.9,0.0
SUP-0620,EMEA,Tier 3,45.0,28.4,2.62,0.0
SUP-0621,EMEA,Tier 3,28.8,38.2,6.98,26.48
SUP-0622,APAC,Tier 3,24.5,29.2,5.2,15.52
SUP-0623,LATAM,Tier 1,82.1,12.6,2.95,0.0
SUP-0624,EMEA,Tier 2,50.7,15.6,6.98,12.58
SUP-0625,LATAM,Tier 2,40.3,6.3,5.16,4.01
SUP-0626,NAM,Tier 3,27.7,7.4,0.63,0.0
SUP-0627,APAC,Tier 3,59.4,16.7,4.45,12.54
SUP-0628,EMEA,Tier 3,51.0,8.3,4.06,18.67
SUP-0629,APAC,Tier 2,46.9,13.3,4.94,7.06
SUP-0630,NAM,Tier 3,77.5,46.1,6.38,0.0
SUP-0631,EMEA,Tier 2,68.8,6.7,5.52,2.84
SUP-0632,APAC,Tier 2,53.9,16.3,5.35,7.56
SUP-0633,LATAM,Tier 3,47.6,22.7,9.54,40.64
SUP-0634,EMEA,Tier 3,47.9,7.7,3.6,8.21
SUP-0635,NAM,Tier 2,42.8,19.5,5.36,9.71
SUP-0636,EMEA,Tier 2,44.9,16.6,2.99,0.0
SUP-0637,NAM,Tier 3,67.9,51.5,1.41,0.0
SUP-0638,APAC,Tier 1,76.4,22.7,6.34,5.54
SUP-0639,APAC,Tier 3,36.6,25.0,6.43,36.39
SUP-0640,APAC,Tier 3,79.1,10.0,7.28,28.9
SUP-0641,NAM,Tier 1,99.0,23.5,4.28,0.0
SUP-0642,NAM,Tier 3,43.3,8.6,2.39,0.0
SUP-0643,APAC,Tier 1,61.8,15.1,0.0,0.0
SUP-0644,APAC,Tier 3,45.3,6.3,3.16,9.98
SUP-0645,APAC,Tier 3,34.0,21.3,5.85,20.56
SUP-0646,EMEA,Tier 1,63.2,8.7,3.36,0.0
SUP-0647,APAC,Tier 3,46.8,28.1,7.46,21.98
SUP-0648,NAM,Tier 1,87.3,15.6,6.77,0.0
SUP-0649,NAM,Tier 2,50.1,8.9,7.06,17.41
SUP-0650,APAC,Tier 2,50.1,8.9,5.07,15.12
SUP-0651,APAC,Tier 2,70.6,56.1,5.13,1.42
SUP-0652,APAC,Tier 3,45.7,10.1,5.6,15.73
SUP-0653,LATAM,Tier 1,44.5,37.1,7.44,6.65
SUP-0654,APAC,Tier 3,51.5,45.3,6.45,25.02
SUP-0655,NAM,Tier 2,49.5,20.9,5.01,0.0
SUP-0656,LATAM,Tier 1,55.5,7.9,8.26,19.47
SUP-0657,APAC,Tier 2,37.5,13.9,8.49,40.27
SUP-0658,NAM,Tier 2,86.4,9.7,7.19,9.59
SUP-0659,APAC,Tier 2,45.6,28.7,8.25,27.76
SUP-0660,EMEA,Tier 3,28.3,11.1,3.73,20.49
SUP-0661,APAC,Tier 2,32.9,5.1,1.82,2.56
SUP-0662,EMEA,Tier 1,79.6,8.8,4.05,0.0
SUP-0663,EMEA,Tier 3,44.1,15.5,5.72,15.29
SUP-0664,NAM,Tier 1,73.4,49.3,6.15,0.7
SUP-0665,APAC,Tier 3,50.9,53.8,2.96,4.7
SUP-0666,APAC,Tier 1,57.8,21.2,3.37,0.0
SUP-0667,EMEA,Tier 1,97.9,6.8,3.94,0.0
SUP-0668,NAM,Tier 2,73.6,5.3,3.21,0.35
SUP-0669,EMEA,Tier 3,62.7,5.4,8.41,15.12
SUP-0670,EMEA,Tier 3,30.4,47.4,5.81,16.23
SUP-0671,NAM,Tier 1,76.8,44.2,8.1,0.0
SUP-0672,NAM,Tier 3,33.3,15.6,6.16,24.63
SUP-0673,APAC,Tier 3,47.8,34.0,3.53,6.94
SUP-0674,EMEA,Tier 3,24.4,19.0,4.5,11.8
SUP-0675,EMEA,Tier 3,20.0,10.3,0.71,0.0
SUP-0676,NAM,Tier 3,41.5,32.8,5.49,7.38
SUP-0677,NAM,Tier 2,37.6,7.3,2.38,0.0
SUP-0678,EMEA,Tier 3,56.7,43.9,2.94,0.0
SUP-0679,EMEA,Tier 3,51.3,27.9,3.81,0.0
SUP-0680,EMEA,Tier 2,49.6,37.4,2.34,0.0
SUP-0681,EMEA,Tier 3,50.1,38.4,3.52,3.59
SUP-0682,LATAM,Tier 1,85.4,27.6,6.74,0.0
SUP-0683,NAM,Tier 1,64.5,30.3,6.38,0.0
SUP-0684,APAC,Tier 1,72.7,9.2,7.96,7.96
SUP-0685,EMEA,Tier 2,82.1,40.3,4.87,0.0
SUP-0686,NAM,Tier 3,63.3,14.0,6.11,14.58
SUP-0687,NAM,Tier 2,64.1,48.5,6.13,11.09
SUP-0688,APAC,Tier 2,52.9,34.9,6.12,8.71
SUP-0689,NAM,Tier 2,50.5,79.4,1.13,0.0
SUP-0690,APAC,Tier 2,70.2,19.1,5.18,0.0
SUP-0691,LATAM,Tier 2,55.4,6.5,6.99,26.69
SUP-0692,APAC,Tier 2,45.7,39.3,6.67,13.33
SUP-0693,APAC,Tier 2,82.4,32.9,1.46,0.0
SUP-0694,APAC,Tier 3,56.9,13.5,5.26,10.51
SUP-0695,NAM,Tier 3,38.9,42.1,2.57,4.2
SUP-0696,NAM,Tier 1,74.8,16.3,4.34,0.0
SUP-0697,APAC,Tier 2,39.4,24.4,4.33,11.96
SUP-0698,NAM,Tier 3,63.8,13.3,3.1,8.11
SUP-0699,APAC,Tier 3,35.9,45.2,6.05,26.43
SUP-0700,APAC,Tier 3,32.8,20.5,7.15,36.86
SUP-0701,APAC,Tier 1,61.6,15.3,6.83,3.76
SUP-0702,APAC,Tier 3,33.3,6.4,3.98,19.04
SUP-0703,APAC,Tier 2,35.1,14.5,1.35,0.0
SUP-0704,NAM,Tier 3,42.7,12.1,3.35,1.58
SUP-0705,EMEA,Tier 1,62.6,25.2,4.16,0.0
SUP-0706,NAM,Tier 3,53.8,8.7,3.18,10.31
SUP-0707,LATAM,Tier 3,46.0,39.3,4.67,15.32
SUP-0708,APAC,Tier 2,34.2,20.7,2.3,5.27
SUP-0709,NAM,Tier 2,42.0,19.0,5.31,13.23
SUP-0710,EMEA,Tier 1,57.2,14.5,4.0,0.0
SUP-0711,APAC,Tier 3,43.6,66.4,4.73,15.16
SUP-0712,NAM,Tier 2,49.0,84.5,4.54,8.51
SUP-0713,APAC,Tier 3,36.5,9.3,7.86,42.15
SUP-0714,NAM,Tier 2,70.5,13.8,1.15,0.0
SUP-0715,EMEA,Tier 2,38.7,7.8,2.57,0.0
SUP-0716,APAC,Tier 3,69.1,14.0,7.16,22.75
SUP-0717,APAC,Tier 3,53.0,9.0,8.09,30.66
SUP-0718,NAM,Tier 3,39.5,23.8,3.7,4.69
SUP-0719,NAM,Tier 1,49.2,12.1,3.99,0.0
SUP-0720,NAM,Tier 2,59.8,48.2,7.31,17.1
SUP-0721,NAM,Tier 1,100.0,54.7,1.81,0.0
SUP-0722,EMEA,Tier 2,69.3,6.0,4.29,0.0
SUP-0723,NAM,Tier 3,20.0,55.3,0.31,0.0
SUP-0724,LATAM,Tier 2,22.1,53.1,4.68,22.38
SUP-0725,EMEA,Tier 2,61.0,16.4,3.01,0.0
SUP-0726,EMEA,Tier 3,65.9,37.7,5.22,3.07
SUP-0727,NAM,Tier 2,71.4,27.4,7.23,5.0
SUP-0728,APAC,Tier 3,53.8,20.8,4.03,7.17
SUP-0729,EMEA,Tier 2,41.0,9.9,3.63,6.35
SUP-0730,APAC,Tier 3,72.8,10.8,5.95,12.03
SUP-0731,NAM,Tier 1,67.8,5.8,5.92,1.01
SUP-0732,APAC,Tier 1,80.1,31.3,8.56,0.0
SUP-0733,EMEA,Tier 1,83.0,50.5,3.1,0.0
SUP-0734,EMEA,Tier 3,36.0,43.6,0.0,0.0
SUP-0735,NAM,Tier 3,39.5,42.6,3.44,0.0
SUP-0736,NAM,Tier 3,77.8,9.4,5.14,7.54
SUP-0737,LATAM,Tier 3,20.0,16.4,5.1,29.9
SUP-0738,APAC,Tier 1,60.9,12.2,6.23,17.54
SUP-0739,EMEA,Tier 1,88.8,14.6,4.5,0.0
SUP-0740,EMEA,Tier 3,52.6,9.3,6.69,23.06
SUP-0741,EMEA,Tier 2,77.6,20.0,4.29,0.0
SUP-0742,NAM,Tier 3,73.9,16.5,2.45,0.0
SUP-0743,APAC,Tier 3,20.0,56.2,1.37,3.1
SUP-0744,EMEA,Tier 1,38.8,55.6,3.16,0.0
SUP-0745,EMEA,Tier 2,50.9,6.8,3.84,4.11
SUP-0746,EMEA,Tier 2,20.0,6.6,2.54,3.08
SUP-0747,APAC,Tier 3,35.9,6.3,3.53,15.4
SUP-0748,NAM,Tier 1,68.8,42.2,2.84,0.0
SUP-0749,NAM,Tier 2,31.3,22.2,0.3,0.0
SUP-0750,APAC,Tier 1,58.3,34.1,4.98,1.56
SUP-0751,EMEA,Tier 2,70.2,24.9,1.5,0.0
SUP-0752,EMEA,Tier 2,62.8,6.2,3.36,1.03
SUP-0753,EMEA,Tier 2,54.5,10.7,5.66,4.32
SUP-0754,APAC,Tier 2,53.4,23.5,6.29,16.35
SUP-0755,LATAM,Tier 3,36.9,7.7,7.92,40.37
SUP-0756,APAC,Tier 3,56.2,24.5,6.06,19.58
SUP-0757,NAM,Tier 3,33.5,33.6,1.62,4.45
SUP-0758,NAM,Tier 3,21.9,24.2,3.71,12.55
SUP-0759,APAC,Tier 1,66.3,88.5,4.72,0.0
SUP-0760,NAM,Tier 3,70.2,5.4,0.18,0.0
SUP-0761,EMEA,Tier 3,37.4,6.8,5.52,17.55
SUP-0762,APAC,Tier 3,28.5,60.7,8.34,37.43
SUP-0763,EMEA,Tier 3,26.7,58.0,4.99,11.82
SUP-0764,EMEA,Tier 1,47.5,12.3,2.24,0.47
SUP-0765,APAC,Tier 3,37.6,9.0,7.79,35.13
SUP-0766,APAC,Tier 3,69.4,10.2,4.75,10.43
SUP-0767,APAC,Tier 1,65.2,13.8,4.28,0.0
SUP-0768,APAC,Tier 3,49.6,26.9,3.31,15.43
SUP-0769,APAC,Tier 2,44.8,5.1,7.64,32.28
SUP-0770,NAM,Tier 2,54.2,18.9,4.68,4.53
SUP-0771,APAC,Tier 3,52.3,45.0,2.46,0.0
SUP-0772,APAC,Tier 3,37.3,44.7,5.99,21.92
SUP-0773,APAC,Tier 2,54.5,47.0,6.55,12.45
SUP-0774,APAC,Tier 1,70.2,11.9,6.46,8.84
SUP-0775,APAC,Tier 1,68.5,7.8,7.47,3.8
SUP-0776,APAC,Tier 2,47.7,61.2,3.57,0.0
SUP-0777,LATAM,Tier 2,54.1,29.7,5.56,7.53
SUP-0778,APAC,Tier 1,62.8,17.6,6.22,0.0
SUP-0779,NAM,Tier 3,74.0,5.2,4.79,5.74
SUP-0780,APAC,Tier 2,20.0,48.7,4.51,14.19
SUP-0781,EMEA,Tier 3,56.0,70.4,0.0,0.0
SUP-0782,APAC,Tier 3,48.7,11.6,3.32,5.27
SUP-0783,LATAM,Tier 1,46.4,22.3,5.99,0.0
SUP-0784,APAC,Tier 2,51.2,73.0,4.42,4.64
SUP-0785,APAC,Tier 3,51.5,5.1,5.59,25.01
SUP-0786,NAM,Tier 2,82.8,31.4,3.04,0.0
SUP-0787,APAC,Tier 1,100.0,80.8,5.49,0.0
SUP-0788,EMEA,Tier 2,83.0,19.5,4.64,0.0
SUP-0789,NAM,Tier 2,45.9,13.5,6.87,12.43
SUP-0790,APAC,Tier 3,20.0,38.2,7.28,35.16
SUP-0791,APAC,Tier 2,44.2,5.2,5.83,28.74
SUP-0792,APAC,Tier 3,61.1,8.0,5.92,26.18
SUP-0793,APAC,Tier 3,48.0,14.3,5.32,16.06
SUP-0794,APAC,Tier 3,56.4,73.0,4.92,3.48
SUP-0795,APAC,Tier 3,36.1,11.4,5.24,21.3
SUP-0796,APAC,Tier 2,24.7,9.3,5.3,14.03
SUP-0797,APAC,Tier 3,20.0,10.5,7.82,49.14
SUP-0798,EMEA,Tier 1,63.1,23.1,4.17,0.0
SUP-0799,EMEA,Tier 1,80.2,42.1,0.83,0.0
SUP-0800,NAM,Tier 3,63.1,20.7,0.95,0.0
SUP-0801,NAM,Tier 2,44.8,15.6,2.05,0.44
SUP-0802,APAC,Tier 2,45.5,6.4,6.96,16.72
SUP-0803,APAC,Tier 3,31.6,44.1,4.68,24.69
SUP-0804,EMEA,Tier 2,57.3,5.2,3.13,0.0
SUP-0805,EMEA,Tier 3,31.3,12.3,2.61,9.98
SUP-0806,APAC,Tier 3,55.2,23.8,3.19,6.9
SUP-0807,APAC,Tier 2,78.4,13.1,7.38,14.64
SUP-0808,APAC,Tier 3,35.2,10.3,5.55,16.38
SUP-0809,NAM,Tier 2,53.8,12.8,3.5,0.0
SUP-0810,NAM,Tier 3,51.1,7.2,5.43,17.28
SUP-0811,EMEA,Tier 1,78.7,25.7,4.35,0.0
SUP-0812,EMEA,Tier 2,47.1,25.4,3.86,0.53
SUP-0813,APAC,Tier 2,42.9,7.9,7.49,28.65
SUP-0814,NAM,Tier 1,34.4,7.3,8.08,18.41
SUP-0815,EMEA,Tier 3,50.4,6.6,2.59,0.0
SUP-0816,APAC,Tier 2,57.2,41.0,6.67,11.69
SUP-0817,EMEA,Tier 2,60.1,25.4,2.0,0.0
SUP-0818,LATAM,Tier 1,86.2,41.2,6.89,3.27
SUP-0819,NAM,Tier 3,64.8,85.9,3.75,2.62
SUP-0820,NAM,Tier 2,63.1,17.3,5.75,4.06
SUP-0821,APAC,Tier 3,35.5,25.5,6.02,17.77
SUP-0822,NAM,Tier 3,39.7,13.8,0.0,0.0
SUP-0823,EMEA,Tier 2,74.0,12.6,4.5,0.0
SUP-0824,NAM,Tier 3,20.0,6.6,0.0,2.99
SUP-0825,NAM,Tier 2,62.9,41.5,3.32,0.0
SUP-0826,APAC,Tier 1,78.3,6.0,6.86,1.64
SUP-0827,APAC,Tier 2,72.7,6.9,6.46,19.37
SUP-0828,NAM,Tier 1,87.2,5.4,4.59,0.0
SUP-0829,EMEA,Tier 2,46.1,13.6,0.7,0.0
SUP-0830,NAM,Tier 3,62.8,32.1,7.7,13.61
SUP-0831,APAC,Tier 1,79.4,7.8,7.2,5.3
SUP-0832,LATAM,Tier 3,49.8,24.3,7.57,34.1
SUP-0833,EMEA,Tier 1,84.7,32.5,2.88,0.0
